,Date,model,class
0,20100808,model1,1
1,20100723,model1,1
2,20100803,model1,1
3,20100718,model1,1
4,20100802,model1,1
5,20100725,model1,1
6,20100728,model1,1
7,20100809,model1,1
8,20100804,model1,1
9,20100714,model1,0
10,20100805,model1,1
11,20100726,model1,1
12,20100806,model1,1
13,20100716,model1,0
14,20100713,model1,0
15,20100722,model1,1
16,20110121,model1,0
17,20110208,model1,0
18,20110212,model1,0
19,20110216,model1,0
20,20110201,model1,1
21,20110126,model1,0
22,20110213,model1,0
23,20110214,model1,0
24,20110206,model1,1
25,20110205,model1,0
26,20110128,model1,1
27,20110124,model1,1
28,20110202,model1,1
29,20110131,model1,0
30,20110130,model1,1
31,20110125,model1,0
32,20110203,model1,1
33,20110204,model1,1
34,20110215,model1,0
35,20100808,model2,1
36,20100723,model2,1
37,20100803,model2,1
38,20100718,model2,1
39,20100802,model2,1
40,20100725,model2,1
41,20100728,model2,1
42,20100809,model2,1
43,20100804,model2,1
44,20100714,model2,0
45,20100805,model2,1
46,20100726,model2,1
47,20100806,model2,1
48,20100716,model2,0
49,20100713,model2,0
50,20100722,model2,1
51,20110121,model2,0
52,20110208,model2,0
53,20110212,model2,0
54,20110216,model2,0
55,20110201,model2,1
56,20110126,model2,0
57,20110213,model2,0
58,20110214,model2,0
59,20110206,model2,1
60,20110205,model2,0
61,20110128,model2,1
62,20110124,model2,1
63,20110202,model2,1
64,20110131,model2,0
65,20110130,model2,1
66,20110125,model2,0
67,20110203,model2,1
68,20110204,model2,1
69,20110215,model2,0
70,20100808,model3,1
71,20100723,model3,1
72,20100803,model3,1
73,20100718,model3,1
74,20100802,model3,1
75,20100725,model3,1
76,20100728,model3,1
77,20100809,model3,1
78,20100804,model3,1
79,20100714,model3,0
80,20100805,model3,1
81,20100726,model3,1
82,20100806,model3,1
83,20100716,model3,0
84,20100713,model3,0
85,20100722,model3,1
86,20110121,model3,0
87,20110208,model3,0
88,20110212,model3,0
89,20110216,model3,0
90,20110201,model3,1
91,20110126,model3,0
92,20110213,model3,0
93,20110214,model3,0
