20100808


Iter     Func-count       f(x)      MeshSize     Method
    0           1      0.0910659             1      
    1           2      0.0910659           0.5     Refine Mesh
    2           3      0.0899733             1     Successful Poll
    3           4      0.0899733           0.5     Refine Mesh
    4           8      0.0899733          0.25     Refine Mesh
    5          12      0.0827594           0.5     Successful Poll
    6          16      0.0827594          0.25     Refine Mesh
    7          17      0.0820118           0.5     Successful Poll
    8          20      0.0820118          0.25     Refine Mesh
    9          24      0.0820118         0.125     Refine Mesh
   10          28      0.0820118        0.0625     Refine Mesh
   11          32      0.0820118       0.03125     Refine Mesh
   12          36      0.0820118       0.01563     Refine Mesh
   13          37      0.0814933       0.03125     Successful Poll
   14          41      0.0814933       0.01563     Refine Mesh
   15          45      0.0814933      0.007813     Refine Mesh
   16          49      0.0814933      0.003906     Refine Mesh
   17          53      0.0814933      0.001953     Refine Mesh
   18          57      0.0814933     0.0009766     Refine Mesh
   19          61      0.0805332      0.001953     Successful Poll
   20          65      0.0805332     0.0009766     Refine Mesh
   21          69      0.0805332     0.0004883     Refine Mesh
   22          73      0.0805332     0.0002441     Refine Mesh
   23          77      0.0805332     0.0001221     Refine Mesh
   24          81      0.0805332     6.104e-05     Refine Mesh
   25          85      0.0805027     0.0001221     Successful Poll
   26          89      0.0805027     6.104e-05     Refine Mesh
   27          93      0.0805027     3.052e-05     Refine Mesh
   28          97      0.0805027     1.526e-05     Refine Mesh
   29          99      0.0802926     3.052e-05     Successful Poll
   30         103      0.0802926     1.526e-05     Refine Mesh

Iter     Func-count        f(x)       MeshSize      Method
   31         107      0.0802926     7.629e-06     Refine Mesh
   32         111      0.0802926     3.815e-06     Refine Mesh
   33         115      0.0802926     1.907e-06     Refine Mesh
   34         119      0.0802926     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 3044.535041 seconds.
20100723


Iter     Func-count       f(x)      MeshSize     Method
    0           1       0.080072             1      
    1           2       0.080072           0.5     Refine Mesh
    2           5      0.0789604             1     Successful Poll
    3           6      0.0789604           0.5     Refine Mesh
    4           9      0.0789604          0.25     Refine Mesh
    5          12      0.0789604         0.125     Refine Mesh
    6          13      0.0788372          0.25     Successful Poll
    7          16      0.0788372         0.125     Refine Mesh
    8          20      0.0788372        0.0625     Refine Mesh
    9          24      0.0788372       0.03125     Refine Mesh
   10          25      0.0788215        0.0625     Successful Poll
   11          29      0.0788215       0.03125     Refine Mesh
   12          33      0.0787413        0.0625     Successful Poll
   13          37      0.0787413       0.03125     Refine Mesh
   14          41      0.0787413       0.01563     Refine Mesh
   15          42      0.0786946       0.03125     Successful Poll
   16          46      0.0786946       0.01563     Refine Mesh
   17          50      0.0782263       0.03125     Successful Poll
   18          54      0.0782263       0.01563     Refine Mesh
   19          58      0.0782263      0.007813     Refine Mesh
   20          62      0.0782263      0.003906     Refine Mesh
   21          66      0.0782263      0.001953     Refine Mesh
   22          70      0.0782263     0.0009766     Refine Mesh
   23          74      0.0782263     0.0004883     Refine Mesh
   24          78      0.0782263     0.0002441     Refine Mesh
   25          82      0.0782263     0.0001221     Refine Mesh
   26          86      0.0782263     6.104e-05     Refine Mesh
   27          90      0.0782263     3.052e-05     Refine Mesh
   28          94      0.0782263     1.526e-05     Refine Mesh
   29          98      0.0782263     7.629e-06     Refine Mesh
   30         102      0.0782263     3.815e-06     Refine Mesh

Iter     Func-count        f(x)       MeshSize      Method
   31         106      0.0782263     1.907e-06     Refine Mesh
   32         110      0.0782263     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 5819.782634 seconds.
20100803


Iter     Func-count       f(x)      MeshSize     Method
    0           1      0.0682522             1      
    1           2      0.0682522           0.5     Refine Mesh
    2           5      0.0670691             1     Successful Poll
    3           6      0.0670691           0.5     Refine Mesh
    4           9      0.0670691          0.25     Refine Mesh
    5          12      0.0670691         0.125     Refine Mesh
    6          15      0.0662124          0.25     Successful Poll
    7          18      0.0662124         0.125     Refine Mesh
    8          21      0.0662124        0.0625     Refine Mesh
    9          25      0.0662124       0.03125     Refine Mesh
   10          27      0.0658142        0.0625     Successful Poll
   11          30      0.0657489         0.125     Successful Poll
   12          33      0.0657489        0.0625     Refine Mesh
   13          36      0.0657489       0.03125     Refine Mesh
   14          40      0.0657489       0.01563     Refine Mesh
   15          44      0.0657489      0.007813     Refine Mesh
   16          48      0.0657489      0.003906     Refine Mesh
   17          52      0.0657489      0.001953     Refine Mesh
   18          54        0.06567      0.003906     Successful Poll
   19          58        0.06567      0.001953     Refine Mesh
   20          62        0.06567     0.0009766     Refine Mesh
   21          65      0.0655572      0.001953     Successful Poll
   22          69      0.0655572     0.0009766     Refine Mesh
   23          73      0.0655572     0.0004883     Refine Mesh
   24          77      0.0655572     0.0002441     Refine Mesh
   25          81      0.0655572     0.0001221     Refine Mesh
   26          85      0.0655572     6.104e-05     Refine Mesh
   27          89      0.0655572     3.052e-05     Refine Mesh
   28          93      0.0655572     1.526e-05     Refine Mesh
   29          97      0.0655572     7.629e-06     Refine Mesh
   30         101      0.0655572     3.815e-06     Refine Mesh

Iter     Func-count        f(x)       MeshSize      Method
   31         105      0.0655572     1.907e-06     Refine Mesh
   32         109      0.0655572     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 8564.589125 seconds.
20100718


Iter     Func-count       f(x)      MeshSize     Method
    0           1       0.101218             1      
    1           2       0.101218           0.5     Refine Mesh
    2           6       0.101218          0.25     Refine Mesh
    3          10      0.0936495           0.5     Successful Poll
    4          14      0.0936495          0.25     Refine Mesh
    5          17      0.0934845           0.5     Successful Poll
    6          20      0.0934845          0.25     Refine Mesh
    7          24      0.0934845         0.125     Refine Mesh
    8          28      0.0934845        0.0625     Refine Mesh
    9          29      0.0930682         0.125     Successful Poll
   10          33      0.0930682        0.0625     Refine Mesh
   11          37      0.0930682       0.03125     Refine Mesh
   12          41      0.0930682       0.01563     Refine Mesh
   13          45      0.0930682      0.007813     Refine Mesh
   14          49      0.0930682      0.003906     Refine Mesh
   15          52      0.0928432      0.007813     Successful Poll
   16          56      0.0928432      0.003906     Refine Mesh
   17          60      0.0928432      0.001953     Refine Mesh
   18          61      0.0927224      0.003906     Successful Poll
   19          65      0.0927224      0.001953     Refine Mesh
   20          69      0.0927224     0.0009766     Refine Mesh
   21          73      0.0927224     0.0004883     Refine Mesh
   22          77      0.0927224     0.0002441     Refine Mesh
   23          81      0.0927224     0.0001221     Refine Mesh
   24          85      0.0927224     6.104e-05     Refine Mesh
   25          89      0.0927224     3.052e-05     Refine Mesh
   26          93      0.0927224     1.526e-05     Refine Mesh
   27          97      0.0927224     7.629e-06     Refine Mesh
   28          98      0.0926796     1.526e-05     Successful Poll
   29         102      0.0926796     7.629e-06     Refine Mesh
   30         106      0.0926796     3.815e-06     Refine Mesh

Iter     Func-count        f(x)       MeshSize      Method
   31         110      0.0926796     1.907e-06     Refine Mesh
   32         111      0.0924475     3.815e-06     Successful Poll
   33         115      0.0924475     1.907e-06     Refine Mesh
   34         119      0.0924475     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 11588.571964 seconds.
20100802


Iter     Func-count       f(x)      MeshSize     Method
    0           1       0.134845             1      
    1           2       0.134845           0.5     Refine Mesh
    2           5        0.13433             1     Successful Poll
    3           6        0.13433           0.5     Refine Mesh
    4           9       0.122853             1     Successful Poll
    5          11       0.122853           0.5     Refine Mesh
    6          13       0.122853          0.25     Refine Mesh
    7          15      0.0969016           0.5     Successful Poll
    8          18      0.0969016          0.25     Refine Mesh
    9          19      0.0968455           0.5     Successful Poll
   10          22      0.0968455          0.25     Refine Mesh
   11          26      0.0968455         0.125     Refine Mesh
   12          27      0.0965302          0.25     Successful Poll
   13          31      0.0965302         0.125     Refine Mesh
   14          35      0.0965302        0.0625     Refine Mesh
   15          39      0.0965302       0.03125     Refine Mesh
   16          43      0.0965153        0.0625     Successful Poll
   17          44      0.0956995         0.125     Successful Poll
   18          48      0.0956995        0.0625     Refine Mesh
   19          52      0.0956995       0.03125     Refine Mesh
   20          53      0.0956338        0.0625     Successful Poll
   21          57      0.0956338       0.03125     Refine Mesh
   22          61      0.0956338       0.01563     Refine Mesh
   23          65      0.0956338      0.007813     Refine Mesh
   24          69      0.0956338      0.003906     Refine Mesh
   25          73      0.0956338      0.001953     Refine Mesh
   26          77      0.0956338     0.0009766     Refine Mesh
   27          81      0.0956338     0.0004883     Refine Mesh
   28          83      0.0950195     0.0009766     Successful Poll
   29          87      0.0950195     0.0004883     Refine Mesh
   30          91      0.0950195     0.0002441     Refine Mesh

Iter     Func-count        f(x)       MeshSize      Method
   31          95      0.0950195     0.0001221     Refine Mesh
   32          99      0.0950195     6.104e-05     Refine Mesh
   33         103      0.0950195     3.052e-05     Refine Mesh
   34         107      0.0950195     1.526e-05     Refine Mesh
   35         111      0.0950195     7.629e-06     Refine Mesh
   36         115      0.0950195     3.815e-06     Refine Mesh
   37         119      0.0950195     1.907e-06     Refine Mesh
   38         122      0.0949861     3.815e-06     Successful Poll
   39         126      0.0949861     1.907e-06     Refine Mesh
   40         130      0.0949861     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 14916.925559 seconds.
20100725


Iter     Func-count       f(x)      MeshSize     Method
    0           1       0.062087             1      
    1           2       0.062087           0.5     Refine Mesh
    2           6       0.062087          0.25     Refine Mesh
    3           7      0.0620149           0.5     Successful Poll
    4          11      0.0620149          0.25     Refine Mesh
    5          15      0.0620149         0.125     Refine Mesh
    6          19      0.0588296          0.25     Successful Poll
    7          23      0.0588296         0.125     Refine Mesh
    8          27      0.0588296        0.0625     Refine Mesh
    9          31      0.0588296       0.03125     Refine Mesh
   10          35      0.0588296       0.01563     Refine Mesh
   11          39      0.0588296      0.007813     Refine Mesh
   12          43      0.0588296      0.003906     Refine Mesh
   13          47      0.0588296      0.001953     Refine Mesh
   14          51      0.0588296     0.0009766     Refine Mesh
   15          55      0.0588296     0.0004883     Refine Mesh
   16          59      0.0588296     0.0002441     Refine Mesh
   17          63      0.0588296     0.0001221     Refine Mesh
   18          67      0.0588296     6.104e-05     Refine Mesh
   19          69      0.0583148     0.0001221     Successful Poll
   20          73      0.0583148     6.104e-05     Refine Mesh
   21          77      0.0583148     3.052e-05     Refine Mesh
   22          81      0.0583148     1.526e-05     Refine Mesh
   23          85      0.0583148     7.629e-06     Refine Mesh
   24          89      0.0583148     3.815e-06     Refine Mesh
   25          93      0.0583148     1.907e-06     Refine Mesh
   26          97      0.0583148     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 17393.134626 seconds.
20100728


Iter     Func-count       f(x)      MeshSize     Method
    0           1      0.0977781             1      
    1           2      0.0961922             2     Successful Poll
    2           4      0.0961922             1     Refine Mesh
    3           6      0.0909931             2     Successful Poll
    4           8      0.0909931             1     Refine Mesh
    5          10      0.0909931           0.5     Refine Mesh
    6          13      0.0909931          0.25     Refine Mesh
    7          16      0.0909931         0.125     Refine Mesh
    8          17      0.0874241          0.25     Successful Poll
    9          20      0.0874241         0.125     Refine Mesh
   10          23      0.0874241        0.0625     Refine Mesh
   11          26      0.0874241       0.03125     Refine Mesh
   12          27       0.086933        0.0625     Successful Poll
   13          30       0.086933       0.03125     Refine Mesh
   14          33       0.086933       0.01563     Refine Mesh
   15          36       0.086933      0.007813     Refine Mesh
   16          37      0.0869239       0.01563     Successful Poll
   17          39      0.0868712       0.03125     Successful Poll
   18          42      0.0868712       0.01563     Refine Mesh
   19          45      0.0868712      0.007813     Refine Mesh
   20          48      0.0868712      0.003906     Refine Mesh
   21          51      0.0868712      0.001953     Refine Mesh
   22          54      0.0868712     0.0009766     Refine Mesh
   23          56      0.0867643      0.001953     Successful Poll
   24          59      0.0867643     0.0009766     Refine Mesh
   25          62      0.0867643     0.0004883     Refine Mesh
   26          65      0.0867643     0.0002441     Refine Mesh
   27          68      0.0867643     0.0001221     Refine Mesh
   28          71      0.0867643     6.104e-05     Refine Mesh
   29          74      0.0867643     3.052e-05     Refine Mesh
   30          76      0.0866825     6.104e-05     Successful Poll

Iter     Func-count        f(x)       MeshSize      Method
   31          79      0.0866825     3.052e-05     Refine Mesh
   32          82      0.0866825     1.526e-05     Refine Mesh
   33          85      0.0866825     7.629e-06     Refine Mesh
   34          88      0.0866825     3.815e-06     Refine Mesh
   35          91      0.0866825     1.907e-06     Refine Mesh
   36          94      0.0866825     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 19794.245778 seconds.
20100809


Iter     Func-count       f(x)      MeshSize     Method
    0           1      0.0771983             1      
    1           2       0.076985             2     Successful Poll
    2           4       0.076985             1     Refine Mesh
    3           6       0.076985           0.5     Refine Mesh
    4           9       0.076985          0.25     Refine Mesh
    5          10      0.0765614           0.5     Successful Poll
    6          13      0.0765614          0.25     Refine Mesh
    7          16      0.0765614         0.125     Refine Mesh
    8          18      0.0756753          0.25     Successful Poll
    9          21      0.0756753         0.125     Refine Mesh
   10          24      0.0756753        0.0625     Refine Mesh
   11          26       0.075561         0.125     Successful Poll
   12          29       0.075561        0.0625     Refine Mesh
   13          32       0.075561       0.03125     Refine Mesh
   14          35       0.075561       0.01563     Refine Mesh
   15          38       0.075561      0.007813     Refine Mesh
   16          41       0.075561      0.003906     Refine Mesh
   17          44       0.075561      0.001953     Refine Mesh
   18          47       0.075561     0.0009766     Refine Mesh
   19          50       0.075561     0.0004883     Refine Mesh
   20          53       0.075561     0.0002441     Refine Mesh
   21          56       0.075561     0.0001221     Refine Mesh
   22          59       0.075561     6.104e-05     Refine Mesh
   23          62       0.075561     3.052e-05     Refine Mesh
   24          65       0.075561     1.526e-05     Refine Mesh
   25          68       0.075561     7.629e-06     Refine Mesh
   26          71       0.075561     3.815e-06     Refine Mesh
   27          74       0.075561     1.907e-06     Refine Mesh
   28          77       0.075561     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 21749.259993 seconds.
20100804


Iter     Func-count       f(x)      MeshSize     Method
    0           1      0.0800224             1      
    1           2      0.0795109             2     Successful Poll
    2           4      0.0795109             1     Refine Mesh
    3           6       0.065986             2     Successful Poll
    4           8       0.065986             1     Refine Mesh
    5          10       0.065986           0.5     Refine Mesh
    6          13       0.065986          0.25     Refine Mesh
    7          14      0.0640045           0.5     Successful Poll
    8          17      0.0640045          0.25     Refine Mesh
    9          20      0.0640045         0.125     Refine Mesh
   10          23      0.0640045        0.0625     Refine Mesh
   11          26      0.0640045       0.03125     Refine Mesh
   12          29      0.0639912        0.0625     Successful Poll
   13          33      0.0639912       0.03125     Refine Mesh
   14          37      0.0639912       0.01563     Refine Mesh
   15          38      0.0639305       0.03125     Successful Poll
   16          39      0.0637746        0.0625     Successful Poll
   17          42      0.0637746       0.03125     Refine Mesh
   18          45      0.0637746       0.01563     Refine Mesh
   19          49      0.0637746      0.007813     Refine Mesh
   20          53      0.0637746      0.003906     Refine Mesh
   21          56      0.0636904      0.007813     Successful Poll
   22          60      0.0636904      0.003906     Refine Mesh
   23          64      0.0636904      0.001953     Refine Mesh
   24          68      0.0636904     0.0009766     Refine Mesh
   25          72      0.0634811      0.001953     Successful Poll
   26          76      0.0634811     0.0009766     Refine Mesh
   27          80      0.0634811     0.0004883     Refine Mesh
   28          84      0.0634811     0.0002441     Refine Mesh
   29          85      0.0634611     0.0004883     Successful Poll
   30          88      0.0633782     0.0009766     Successful Poll

Iter     Func-count        f(x)       MeshSize      Method
   31          92      0.0633782     0.0004883     Refine Mesh
   32          96      0.0633782     0.0002441     Refine Mesh
   33         100      0.0633782     0.0001221     Refine Mesh
   34         104      0.0633782     6.104e-05     Refine Mesh
   35         108      0.0633782     3.052e-05     Refine Mesh
   36         112      0.0633782     1.526e-05     Refine Mesh
   37         116      0.0633782     7.629e-06     Refine Mesh
   38         120      0.0633782     3.815e-06     Refine Mesh
   39         124      0.0633782     1.907e-06     Refine Mesh
   40         128      0.0633782     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 24989.421135 seconds.
20100714


Iter     Func-count       f(x)      MeshSize     Method
    0           1       0.072923             1      
    1           2       0.072923           0.5     Refine Mesh
    2           3      0.0723076             1     Successful Poll
    3           4      0.0723076           0.5     Refine Mesh
    4           8      0.0723076          0.25     Refine Mesh
    5          11      0.0719351           0.5     Successful Poll
    6          15      0.0719351          0.25     Refine Mesh
    7          19      0.0650536           0.5     Successful Poll
    8          22      0.0648282             1     Successful Poll
    9          24      0.0648282           0.5     Refine Mesh
   10          27      0.0648282          0.25     Refine Mesh
   11          30      0.0648093           0.5     Successful Poll
   12          33      0.0648093          0.25     Refine Mesh
   13          36      0.0648093         0.125     Refine Mesh
   14          37      0.0647008          0.25     Successful Poll
   15          40      0.0647008         0.125     Refine Mesh
   16          44      0.0647008        0.0625     Refine Mesh
   17          48      0.0647008       0.03125     Refine Mesh
   18          52      0.0646687        0.0625     Successful Poll
   19          53      0.0644009         0.125     Successful Poll
   20          57      0.0644009        0.0625     Refine Mesh
   21          61      0.0644009       0.03125     Refine Mesh
   22          65      0.0644009       0.01563     Refine Mesh
   23          69      0.0644009      0.007813     Refine Mesh
   24          73      0.0644009      0.003906     Refine Mesh
   25          77      0.0644009      0.001953     Refine Mesh
   26          81      0.0644009     0.0009766     Refine Mesh
   27          85      0.0644009     0.0004883     Refine Mesh
   28          89      0.0644009     0.0002441     Refine Mesh
   29          93      0.0644009     0.0001221     Refine Mesh
   30          97      0.0644009     6.104e-05     Refine Mesh

Iter     Func-count        f(x)       MeshSize      Method
   31         101      0.0644009     3.052e-05     Refine Mesh
   32         105      0.0644009     1.526e-05     Refine Mesh
   33         109      0.0643916     3.052e-05     Successful Poll
   34         113      0.0643916     1.526e-05     Refine Mesh
   35         117      0.0643916     7.629e-06     Refine Mesh
   36         121      0.0643916     3.815e-06     Refine Mesh
   37         125      0.0643916     1.907e-06     Refine Mesh
   38         129      0.0643916     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 28238.737909 seconds.
20100805


Iter     Func-count       f(x)      MeshSize     Method
    0           1      0.0704975             1      
    1           2       0.067644             2     Successful Poll
    2           4       0.067644             1     Refine Mesh
    3           6      0.0646254             2     Successful Poll
    4           8      0.0646254             1     Refine Mesh
    5          10      0.0646254           0.5     Refine Mesh
    6          11      0.0611095             1     Successful Poll
    7          13      0.0611095           0.5     Refine Mesh
    8          16      0.0611095          0.25     Refine Mesh
    9          18      0.0600315           0.5     Successful Poll
   10          21      0.0600315          0.25     Refine Mesh
   11          24      0.0600315         0.125     Refine Mesh
   12          27      0.0598977          0.25     Successful Poll
   13          31      0.0598977         0.125     Refine Mesh
   14          32      0.0598403          0.25     Successful Poll
   15          35      0.0598403         0.125     Refine Mesh
   16          39      0.0598403        0.0625     Refine Mesh
   17          43      0.0598403       0.03125     Refine Mesh
   18          44      0.0598279        0.0625     Successful Poll
   19          47      0.0597841         0.125     Successful Poll
   20          51      0.0597841        0.0625     Refine Mesh
   21          55      0.0597841       0.03125     Refine Mesh
   22          59      0.0597841       0.01563     Refine Mesh
   23          63      0.0597841      0.007813     Refine Mesh
   24          67      0.0597841      0.003906     Refine Mesh
   25          71      0.0597841      0.001953     Refine Mesh
   26          74      0.0597644      0.003906     Successful Poll
   27          77      0.0596863      0.007813     Successful Poll
   28          81      0.0596863      0.003906     Refine Mesh
   29          85      0.0596863      0.001953     Refine Mesh
   30          87      0.0596522      0.003906     Successful Poll

Iter     Func-count        f(x)       MeshSize      Method
   31          91      0.0596522      0.001953     Refine Mesh
   32          95      0.0596522     0.0009766     Refine Mesh
   33          99      0.0596522     0.0004883     Refine Mesh
   34         103      0.0596522     0.0002441     Refine Mesh
   35         104      0.0596287     0.0004883     Successful Poll
   36         108      0.0596287     0.0002441     Refine Mesh
   37         112      0.0596287     0.0001221     Refine Mesh
   38         116      0.0596287     6.104e-05     Refine Mesh
   39         119       0.059622     0.0001221     Successful Poll
   40         123       0.059622     6.104e-05     Refine Mesh
   41         127       0.059622     3.052e-05     Refine Mesh
   42         131       0.059622     1.526e-05     Refine Mesh
   43         135       0.059622     7.629e-06     Refine Mesh
   44         139       0.059622     3.815e-06     Refine Mesh
   45         142      0.0595746     7.629e-06     Successful Poll
   46         145      0.0595517     1.526e-05     Successful Poll
   47         149      0.0595517     7.629e-06     Refine Mesh
   48         153      0.0595517     3.815e-06     Refine Mesh
   49         157      0.0595517     1.907e-06     Refine Mesh
   50         161      0.0595517     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 32329.289011 seconds.
20100726


Iter     Func-count       f(x)      MeshSize     Method
    0           1      0.0629535             1      
    1           2      0.0629535           0.5     Refine Mesh
    2           5      0.0615688             1     Successful Poll
    3           6      0.0615688           0.5     Refine Mesh
    4           9      0.0615688          0.25     Refine Mesh
    5          10      0.0609155           0.5     Successful Poll
    6          13      0.0609155          0.25     Refine Mesh
    7          17      0.0605984           0.5     Successful Poll
    8          20      0.0605984          0.25     Refine Mesh
    9          23      0.0601937           0.5     Successful Poll
   10          26      0.0601937          0.25     Refine Mesh
   11          29      0.0601937         0.125     Refine Mesh
   12          32      0.0601937        0.0625     Refine Mesh
   13          33      0.0601579         0.125     Successful Poll
   14          35      0.0600379          0.25     Successful Poll
   15          36      0.0591515           0.5     Successful Poll
   16          37       0.058605             1     Successful Poll
   17          37       0.058605           0.5     Refine Mesh
   18          41       0.058605          0.25     Refine Mesh
   19          45       0.058605         0.125     Refine Mesh
   20          48      0.0584081          0.25     Successful Poll
   21          52      0.0584081         0.125     Refine Mesh
   22          56      0.0584081        0.0625     Refine Mesh
   23          60      0.0584081       0.03125     Refine Mesh
   24          61      0.0582742        0.0625     Successful Poll
   25          65      0.0582742       0.03125     Refine Mesh
   26          69      0.0582742       0.01563     Refine Mesh
   27          72      0.0582105       0.03125     Successful Poll
   28          76      0.0582105       0.01563     Refine Mesh
   29          80      0.0582105      0.007813     Refine Mesh
   30          82      0.0579469       0.01563     Successful Poll

Iter     Func-count        f(x)       MeshSize      Method
   31          86      0.0579469      0.007813     Refine Mesh
   32          90      0.0579469      0.003906     Refine Mesh
   33          91      0.0578895      0.007813     Successful Poll
   34          95      0.0578895      0.003906     Refine Mesh
   35          99      0.0578895      0.001953     Refine Mesh
   36         103      0.0578895     0.0009766     Refine Mesh
   37         104      0.0577837      0.001953     Successful Poll
   38         108      0.0577837     0.0009766     Refine Mesh
   39         112      0.0577837     0.0004883     Refine Mesh
   40         116      0.0577837     0.0002441     Refine Mesh
   41         120      0.0577837     0.0001221     Refine Mesh
   42         124      0.0577837     6.104e-05     Refine Mesh
   43         128      0.0577837     3.052e-05     Refine Mesh
   44         132      0.0577837     1.526e-05     Refine Mesh
   45         136      0.0577837     7.629e-06     Refine Mesh
   46         140      0.0577837     3.815e-06     Refine Mesh
   47         144      0.0577837     1.907e-06     Refine Mesh
   48         148      0.0577837     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 36080.957119 seconds.
20100806


Iter     Func-count       f(x)      MeshSize     Method
    0           1      0.0816592             1      
    1           2      0.0804568             2     Successful Poll
    2           4      0.0804568             1     Refine Mesh
    3           6      0.0716714             2     Successful Poll
    4           8      0.0716714             1     Refine Mesh
    5          10      0.0716714           0.5     Refine Mesh
    6          13      0.0679756             1     Successful Poll
    7          15      0.0679756           0.5     Refine Mesh
    8          18      0.0657286             1     Successful Poll
    9          20      0.0657286           0.5     Refine Mesh
   10          23      0.0657286          0.25     Refine Mesh
   11          26      0.0657286         0.125     Refine Mesh
   12          27      0.0655358          0.25     Successful Poll
   13          30      0.0655358         0.125     Refine Mesh
   14          34      0.0655358        0.0625     Refine Mesh
   15          38      0.0650287         0.125     Successful Poll
   16          42      0.0650287        0.0625     Refine Mesh
   17          46      0.0650287       0.03125     Refine Mesh
   18          50      0.0650287       0.01563     Refine Mesh
   19          54      0.0650287      0.007813     Refine Mesh
   20          55      0.0649841       0.01563     Successful Poll
   21          59      0.0649841      0.007813     Refine Mesh
   22          63      0.0649841      0.003906     Refine Mesh
   23          67      0.0649841      0.001953     Refine Mesh
   24          71      0.0649841     0.0009766     Refine Mesh
   25          75      0.0649841     0.0004883     Refine Mesh
   26          78      0.0649765     0.0009766     Successful Poll
   27          82      0.0649765     0.0004883     Refine Mesh
   28          86      0.0649765     0.0002441     Refine Mesh
   29          90      0.0649015     0.0004883     Successful Poll
   30          94      0.0649015     0.0002441     Refine Mesh

Iter     Func-count        f(x)       MeshSize      Method
   31          98      0.0649015     0.0001221     Refine Mesh
   32         102      0.0649015     6.104e-05     Refine Mesh
   33         106      0.0649015     3.052e-05     Refine Mesh
   34         110      0.0649015     1.526e-05     Refine Mesh
   35         113      0.0648924     3.052e-05     Successful Poll
   36         117      0.0648924     1.526e-05     Refine Mesh
   37         121      0.0648924     7.629e-06     Refine Mesh
   38         125      0.0648924     3.815e-06     Refine Mesh
   39         129      0.0648924     1.907e-06     Refine Mesh
   40         132      0.0648607     3.815e-06     Successful Poll
   41         136      0.0648607     1.907e-06     Refine Mesh
   42         140      0.0648607     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 39638.984197 seconds.
20100716


Iter     Func-count       f(x)      MeshSize     Method
    0           1      0.0730622             1      
    1           2      0.0730622           0.5     Refine Mesh
    2           5      0.0721167             1     Successful Poll
    3           6      0.0721167           0.5     Refine Mesh
    4           9      0.0721167          0.25     Refine Mesh
    5          10      0.0718739           0.5     Successful Poll
    6          13      0.0718739          0.25     Refine Mesh
    7          17      0.0656848           0.5     Successful Poll
    8          20      0.0656848          0.25     Refine Mesh
    9          24      0.0656848         0.125     Refine Mesh
   10          28      0.0656848        0.0625     Refine Mesh
   11          32      0.0656848       0.03125     Refine Mesh
   12          36      0.0656848       0.01563     Refine Mesh
   13          40      0.0656848      0.007813     Refine Mesh
   14          44      0.0656848      0.003906     Refine Mesh
   15          48      0.0656848      0.001953     Refine Mesh
   16          52      0.0656848     0.0009766     Refine Mesh
   17          56      0.0656848     0.0004883     Refine Mesh
   18          60      0.0656848     0.0002441     Refine Mesh
   19          64      0.0656848     0.0001221     Refine Mesh
   20          68      0.0656848     6.104e-05     Refine Mesh
   21          69      0.0656804     0.0001221     Successful Poll
   22          73      0.0656804     6.104e-05     Refine Mesh
