,Date,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,feature
0,20100713,"0.964753881595,1.07967262746","0.964753881595,1.07967262746","0.964753881595,1.07967262746","0.964753881595,1.05787512838","0.964753881595,1.07967262746","0.964753881595,1.07967262746","0.964753881595,1.07967262746","0.964753881595,1.07967262746","0.905992421134,0.964753881595,0.244946600245,1.07967262746","0.964753881595,1.07967262746","0.964753881595,1.07967262746","0.958498280765,0.964753881595,1.07967262746",sph_dist
1,20100714,"1.06640183357,0.948833712293,0.6382176551,0.329369714398,0.210715515228,0.963108052879","0.747508414663,0.935594111543,0.963108052879","0.948833712293,0.963108052879,0.245390315628","0.6382176551,0.948833712293,1.08654695735,0.963108052879","1.06640183357,0.591251507005,0.285129212512,0.963108052879","0.935594111543,0.428777009782,0.963108052879","0.80409648071,0.316021118407,0.591251507005,0.935594111543,0.428777009782,0.246689204058,0.963108052879","0.935594111543,0.45412517034,0.963108052879","0.935594111543,0.963108052879","0.476305567545,0.866716005907,0.963108052879,0.214497139947","0.255317245727,0.40214555822,0.591251507005,0.948833712293,0.244346095279,0.963108052879","1.02314478345,0.948833712293,0.963108052879",sph_dist
2,20100715,"0.966523547346,0.802486420022,0.954004583454,0.943225412056","0.822858618125,0.442416793527,0.802486420022,0.954004583454,0.943225412056","0.966523547346,0.802486420022,0.943225412056,0.954004583454","0.966523547346,0.802486420022,0.954004583454,0.931505073223","0.986288506424,0.0935200212794,0.802486420022,0.943225412056,0.954004583454","0.802486420022,0.931505073223,0.954004583454","0.802486420022,0.954004583454,0.943225412056","0.810134313614,0.802486420022,0.943225412056,0.954004583454","0.904106536419,0.802486420022,0.954004583454,0.943225412056","0.0935200212794,0.802486420022,0.954004583454,0.943225412056","0.854547212357,0.802486420022,0.954004583454,0.943225412056,0.154871865127","0.802486420022,0.442416793527,0.948665434244,0.954004583454,0.943225412056",sph_dist
3,20100716,"0.931786990856,0.769598909453,1.02124094874","0.888058226161,0.437332730712,1.02124094874,0.752719842233","0.931786990856,0.768866761328,1.02124094874","0.931786990856,0.768866761328,1.02124094874","0.931786990856,0.768866761328,1.02124094874","0.931786990856,0.499397889629,1.02124094874,0.768866761328","0.461252631781,0.888058226161,0.768866761328,1.02124094874","0.931786990856,0.769598909453,1.02124094874","0.437332730712,0.931786990856,1.00161811042,0.752719842233,1.02124094874","0.931786990856,0.0889132777415,1.02124094874,0.768866761328","0.931786990856,0.768866761328,1.02124094874","1.0737021716,0.931786990856,0.769598909453,1.02124094874",sph_dist
4,20100718,"0.938661144637,0.936651354034","0.425265884675,0.909173713551,0.936651354034","0.966751040448,0.391517405175,0.314812023664,0.936651354034","0.938661144637,0.140596029603,0.936651354034","0.909173713551,0.936651354034","0.966751040448,0.936651354034","0.743171252404,0.966751040448,0.26233526133,0.936651354034","0.966751040448,0.936651354034","0.909485629149,0.425265884675,0.938046566358,0.936651354034","0.966751040448,0.936651354034","0.93584415809,0.909173713551,0.936651354034","0.95295228469,0.966751040448,0.936651354034",sph_dist
5,20100719,"0.110556439755,0.430143943679,0.482220750576,0.973829734296","0.413588358392,0.482220750576,0.973829734296","0.482220750576,0.38664716695,0.973829734296","0.430143943679,0.482220750576,0.973829734296","0.430143943679,0.482220750576,0.973829734296","0.482220750576,0.973829734296","1.03962456392,0.482220750576,0.973829734296","0.482220750576,0.973829734296","0.950802167017,0.482220750576,0.973829734296","0.482220750576,0.973829734296","0.430143943679,0.482220750576,0.973829734296","0.999555265013,0.482220750576,0.973829734296",sph_dist
6,20100721,"0.971981361426,0.436548255432,0.525153025072,0.966697025094","0.437195418265,1.02385761113,0.525153025072,0.966697025094","1.05845864366,0.525153025072,0.966697025094","0.971981361426,0.402344052636,0.904350855954,1.19614422771,0.525153025072,0.966697025094","0.402344052636,1.02385761113,0.525153025072,0.966697025094","0.437195418265,1.05845864366,0.525153025072,0.966697025094","0.488890854001,1.05845864366,0.525153025072,0.966697025094","1.02385761113,0.525153025072,0.966697025094","0.403488918068,1.19614422771,1.02385761113,0.525153025072,0.966697025094","0.488692190558,1.02385761113,0.525153025072,0.966697025094","0.488692190558,1.02385761113,0.525153025072,0.966697025094","0.436332312999,1.02385761113,0.525153025072,0.966697025094",sph_dist
7,20100722,"1.03471248175,0.541671507744,0.428112019097,0.891558808589","1.12475627403,0.428112019097,0.891558808589","0.541206999665,1.15949255158,0.428112019097,0.891558808589","0.506792875161,1.12475627403,0.428112019097,0.891558808589","0.594723021063,1.12475627403,0.428112019097,0.891558808589","1.15949255158,0.447408471671,0.891558808589","1.15949255158,0.415264243778,0.891558808589","0.594723021063,1.15949255158,0.428112019097,0.891558808589","1.12170356891,0.891558808589,0.428112019097","0.593557776109,1.03471248175,0.428112019097,0.891558808589","0.593557776109,1.34630474817,1.12475627403,0.428112019097,0.891558808589","0.541206999665,1.12170356891,0.428112019097,0.891558808589",sph_dist
8,20100723,"0.912364934189,0.383972435439,1.30587047205","0.964512112349,1.30587047205","0.383972435439,0.964512112349,1.30587047205","0.349065850399,0.964512112349,1.30587047205","1.38163896134,0.383972435439,0.912364934189,1.30587047205","1.0048157181,1.30537808959","1.05145591588,1.30587047205","0.999285332383,1.30587047205","0.964512112349,1.30587047205","0.43843061054,0.785547752982,1.30587047205","0.436332312999,0.964512112349,1.30587047205","0.436565970472,0.999285332383,1.30587047205",sph_dist
9,20100725,"2.21731968696,0.663937684438,0.983547579953","2.25147269472,0.663937684438,0.983547579953","1.6180720998,2.15886767296,0.663937684438,0.983547579953","1.5842076722,2.12476208278,0.663937684438,0.983547579953","1.66886160162,2.16601974935,0.663937684438,0.983547579953","2.25147269472,0.663937684438,0.984372201094","0.899575830972,2.30261911812,0.663937684438,0.983547579953","0.98790349745,2.25147269472,0.629252512639,0.984372201094","2.21731968696,1.0142384509,0.983547579953,0.663937684438","1.5547249145,2.0281651861,0.629252512639,0.983547579953","1.58808982339,2.15886767296,0.899587728833,0.983547579953,0.663937684438","1.68100420466,2.24395586717,0.629252512639,0.983547579953",sph_dist
