trees,five,seven,nine,eleven,thirteen,fifteen,twentyone
0,0.468,0.444,0.422,0.422,0.43,0.42,0.42
1,0.408,0.387,0.368,0.356,0.36,0.356,0.356
2,0.329,0.332,0.317,0.305,0.301,0.298,0.298
3,0.301,0.274,0.27,0.22,0.22,0.227,0.227
4,0.282,0.26,0.243,0.21,0.215,0.227,0.227
5,0.258,0.236,0.2,0.186,0.2,0.205,0.205
6,0.241,0.229,0.181,0.174,0.196,0.2,0.2
7,0.239,0.22,0.172,0.158,0.179,0.177,0.177
8,0.22,0.2,0.167,0.143,0.162,0.155,0.155
9,0.212,0.169,0.143,0.117,0.143,0.134,0.134
10,0.2,0.174,0.143,0.11,0.131,0.129,0.129
11,0.21,0.172,0.148,0.11,0.134,0.134,0.134
12,0.205,0.165,0.141,0.11,0.112,0.107,0.107
13,0.196,0.16,0.141,0.107,0.115,0.11,0.11
14,0.196,0.15,0.134,0.107,0.105,0.105,0.105
15,0.198,0.146,0.131,0.115,0.103,0.103,0.103
16,0.2,0.153,0.129,0.112,0.11,0.103,0.103
17,0.196,0.146,0.126,0.115,0.115,0.11,0.11
18,0.189,0.138,0.124,0.11,0.11,0.103,0.103
19,0.189,0.134,0.119,0.112,0.11,0.1,0.1
20,0.193,0.122,0.124,0.107,0.107,0.098,0.098
21,0.196,0.126,0.124,0.11,0.11,0.103,0.103
22,0.196,0.126,0.126,0.112,0.115,0.105,0.105
23,0.191,0.124,0.124,0.105,0.107,0.105,0.105
24,0.184,0.122,0.119,0.1,0.107,0.103,0.103
25,0.186,0.122,0.115,0.098,0.107,0.103,0.103
26,0.186,0.124,0.112,0.093,0.107,0.105,0.105
27,0.189,0.124,0.105,0.091,0.105,0.103,0.103
28,0.181,0.124,0.1,0.095,0.103,0.105,0.105
29,0.179,0.117,0.103,0.086,0.095,0.095,0.095
30,0.184,0.119,0.1,0.086,0.098,0.095,0.098
31,0.181,0.119,0.103,0.088,0.091,0.091,0.093
32,0.174,0.119,0.107,0.091,0.093,0.088,0.091
33,0.169,0.124,0.1,0.086,0.1,0.091,0.093
34,0.165,0.122,0.098,0.086,0.1,0.093,0.093
35,0.167,0.115,0.091,0.088,0.091,0.088,0.088
36,0.174,0.117,0.091,0.086,0.088,0.088,0.088
37,0.177,0.117,0.086,0.086,0.081,0.084,0.084
38,0.179,0.117,0.091,0.086,0.084,0.084,0.084
39,0.174,0.119,0.091,0.088,0.086,0.086,0.086
40,0.174,0.119,0.086,0.086,0.084,0.084,0.084
41,0.174,0.117,0.088,0.086,0.084,0.079,0.079
42,0.174,0.112,0.093,0.086,0.084,0.079,0.079
43,0.172,0.117,0.095,0.084,0.081,0.076,0.076
44,0.169,0.115,0.088,0.081,0.081,0.076,0.079
45,0.169,0.117,0.088,0.081,0.079,0.072,0.074
46,0.167,0.112,0.084,0.079,0.076,0.069,0.072
47,0.169,0.112,0.084,0.076,0.072,0.064,0.064
48,0.169,0.11,0.084,0.076,0.074,0.069,0.069
49,0.177,0.11,0.086,0.072,0.069,0.067,0.067
